SR. NO. - NAN,RESERVOIR NAME - NAN,FRL (M) - NAN,CURRENT RESERVOIR LEVEL (M) - NAN,LIVE CAPACITY AT FRL (BCM) - NAN,CURRENT LIVE STORAGE (BCM) - NAN,DATE - NAN,STORAGE AS % OF LIVE CAPACITY AT FRL - CURRENT YEAR,NAN - LAST YEAR,NAN - NORMAL STORAGE,BENEFITS - IRR-CCA,NAN - HYDEL IN MW,DATE,SOURCE_PDF,pct_filled,STORAGE AS % OF LIVE CAPACITY AT FRL - NORMAL STORAGE,BENEFITS - HYDEL IN MW
1,GOBIND SAGAR,512.000,476.220,6.229,1.387,29.05.2025,22.27,27.40,27.48,676.000,1379.000,2025-05-29,bulletin-29-05-2025-15.pdf,22.266816503451597,27.48,1379.000
1,THEIN DAM,527.910,508.080,2.344,0.988,29.05.2025,42.15,39.04,48.64,348.000,600.000,2025-05-29,bulletin-29-05-2025-15.pdf,42.15017064846416,48.64,600.000
2,PONG DAM,423.670,394.760,6.157,0.764,29.05.2025,12.41,25.87,25.75,0.000,396.000,2025-05-29,bulletin-29-05-2025-15.pdf,12.408640571707,25.75,396.000
1,GOBIND SAGAR,512.000,475.860,6.229,1.359,05.06.2025,21.82,29.84,28.42,676.000,1379.000,2025-06-05,bulletin-05-06-2025-18.pdf,21.817306148659497,28.42,1379.000
1,THEIN DAM,527.910,507.960,2.344,0.988,05.06.2025,42.15,41.13,49.82,348.000,600.000,2025-06-05,bulletin-05-06-2025-18.pdf,42.15017064846416,49.82,600.000
2,PONG DAM,423.670,394.810,6.157,0.769,05.06.2025,12.49,24.74,26.24,0.000,396.000,2025-06-05,bulletin-05-06-2025-18.pdf,12.489848952411888,26.24,396.000
1,GOBIND SAGAR,512.000,473.980,6.229,1.239,12.06.2025,19.89,30.77,29.12,676.000,1379.000,2025-06-12,bulletin-12-06-2025-23.pdf,19.890833199550492,29.12,1379.000
1,THEIN DAM,527.910,506.840,2.344,0.956,12.06.2025,40.78,40.74,49.83,348.000,600.000,2025-06-12,bulletin-12-06-2025-23.pdf,40.784982935153586,49.83,600.000
2,PONG DAM,423.670,393.440,6.157,0.636,12.06.2025,10.33,22.53,24.71,0.000,396.000,2025-06-12,bulletin-12-06-2025-23.pdf,10.32970602566185,24.71,396.000
1,GOBIND SAGAR,512.000,475.730,6.229,1.350,19.06.2025,21.67,31.14,28.55,676.000,1379.000,2025-06-19,bulletin-19-06-2025-28.pdf,21.67282067747632,28.55,1379.000
1,THEIN DAM,527.910,505.770,2.344,0.866,19.06.2025,36.95,35.92,48.58,348.000,600.000,2025-06-19,bulletin-19-06-2025-28.pdf,36.94539249146758,48.58,600.000
2,PONG DAM,423.670,392.600,6.157,0.561,19.06.2025,9.11,20.33,23.15,0.000,396.000,2025-06-19,bulletin-19-06-2025-28.pdf,9.111580315088517,23.15,396.000
1,GOBIND SAGAR,512.000,477.510,6.229,1.485,26.06.2025,23.84,30.82,28.27,676.000,1379.000,2025-06-26,bulletin-26-06-2025-37.pdf,23.840102745223955,28.27,1379.000
1,THEIN DAM,527.910,505.440,2.344,0.866,26.06.2025,36.95,31.74,46.62,348.000,600.000,2025-06-26,bulletin-26-06-2025-37.pdf,36.94539249146758,46.62,600.000
2,PONG DAM,423.670,394.090,6.157,0.699,26.06.2025,11.35,18.68,22.46,0.000,396.000,2025-06-26,bulletin-26-06-2025-37.pdf,11.352931622543446,22.46,396.000
1,GOBIND SAGAR,512.000,481.870,6.229,1.822,03.07.2025,29.25,33.07,28.68,676.000,1379.000,2025-07-03,bulletin-03-07-2025-38.pdf,29.250280943971745,28.68,1379.000
